year,doi,title,authors,number.authors,citations,source.pages.count
1998,10.1118/1.598271,Texture analysis in radiographs: The influence of modulation transfer function and noise on the discriminative ability of texture features,"Veenland, JF ; Grashuis, JL ; Gelsema, ES",3,29,15
1998,10.1118/1.598272,Classification of compressed breast shapes for the design of equalization filters in x-ray mammography,"Goodsitt, MM ; Chan, HP ; Liu, B ; Guru, SV ; Morton, AR ; Keshavmurthy, S ; Petrick, N",7,31,12
1998,10.1118/1.598273,Optimally weighted wavelet transform based on supervised training for detection of microcalcifications in digital mammograms,"Zhang, W ; Yoshida, H ; Nishikawa, RM ; Doi, K",4,51,8
1998,10.1118/1.598274,Computer-aided diagnosis: Automatic detection of malignant masses in digitized mammograms,"Mendez, AJ ; Tahoces, PG ; Lado, MJ ; Souto, M ; Vidal, JJ",5,113,8
1998,10.1118/1.598275,Evaluation of imaging geometries calculated from biplane images,"Esthappan, J ; Harauchi, H ; Hoffmann, KR",3,10,11
1998,10.1118/1.598405,Identification of lung regions in chest radiographs using Markov random field modeling,"Vittitoe, NF ; Vargas-Voracek, R ; Floyd, CE",3,37,10
1998,10.1118/1.598276,A comprehensive physical image quality evaluation of a selenium based digital x-ray imaging system for thorax radiography,"Launders, JH ; Kengyelics, SM ; Cowen, AR",3,32,12
1998,10.1118/1.598277,Automated segmentation of anatomic regions in chest radiographs using an adaptive-sized hybrid neural network,"Tsujii, O ; Freedman, MT ; Mun, SK",3,41,10
1998,10.1118/1.598279,A semianalytic model to investigate the potential applications of x-ray scatter imaging,"Leclair, RJ ; Johns, PC",2,39,13
1998,10.1118/1.598281,The effect on dose to computed tomography phantoms of varying the theoretical x-ray spectrum: A comparison of four diagnostic x-ray spectrum calculating codes,"Caon, M ; Bibbo, G ; Pattison, J ; Bhat, M",4,22,7
1998,10.1118/1.598284,Panoramic radiology quality assessment,"Goldstein, A",1,5,5
1998,10.1118/1.598285,Exposure and dose in panoramic radiology,"Goldstein, A",1,9,8
1998,10.1118/1.598287,Specific absorption rate ratio patterns of cylindrical ultrasound transducers for breast tumors,"Lin, WL ; Yen, JY ; Chen, YY ; Cheng, KS ; Shieh, MJ",5,4,8
1998,10.1118/1.598288,Measurement of small inter-scan fluctuations in voxel dimensions in magnetic resonance images using registration,"Lemieux, L ; Barker, GJ",2,32,6
1998,10.1118/1.598302,Accurate seg mentation and contrast measurement of microcalcifications in mammograms: A phantom study,"Veldkamp, WJH ; Karssemeijer, N",2,20,9
1998,10.1118/1.598433,Scattered radiation in scanning slot mammography,"Jing, ZX ; Huda, W ; Walker, JK",3,37,7
1998,10.1118/1.598303,Automatic calculation of total lung capacity from automatically traced lung boundaries in postero-anterior and lateral digital chest radiographs,"Carrascal, FM ; Carreira, JM ; Souto, M ; Tahoces, PG ; Gomez, L ; Vidal, JJ",6,42,14
1998,10.1118/1.598304,Comparison of a cathode-ray-tube and film for display of computed radiographic images,"Cook, LT ; Cox, GG ; Insana, MF ; McFadden, MA ; Hall, TJ ; Gaborski, RS ; Lure, FYM",7,17,7
1998,10.1118/1.598305,Optical simulations of a noninvasive technique for the diagnosis of diseased salivary glands in situ,"Gannot, I ; Bonner, RF ; Gannot, G ; Fox, PC ; Smith, PD ; Gandjbakhche, AH",6,17,6
1998,10.1118/1.598306,Anthropomorphic <SUP>1</SUP>H MRS head phantom,"Rice, JR ; Milbrandt, RH ; Madsen, EL ; Frank, GR ; Boote, EJ ; Blechinger, JC",6,28,12
1998,10.1118/1.598307,A microdosimetric-kinetic theory of the dependence of the RBE for cell death on LET,"Hawkins, RB",1,119,14
1998,10.1118/1.598308,Improvements in prostate radiotherapy from the customization of beam directions,"Rowbottom, CG ; Webb, S ; Oldham, M",3,66,9
1998,10.1118/1.598296,Automatic setup deviation measurements with electronic portal images for pelvic fields,"Girouard, LM ; Pouliot, J ; Maldague, X ; Zaccarin, A",4,14,6
1998,10.1118/1.598395,Monte Carlo detective quantum efficiency and scatter studies of a metal/a-Se portal detector,"Lachaine, M ; Fallone, BG",2,17,9
1998,10.1118/1.598297,The indirect use of CT numbers to establish material properties needed for Monte Carlo calculation of dose distributions in patients,"du Plessis, FCP ; Willemse, CA ; Lotter, MG ; Goedhals, L",4,56,7
1998,10.1118/1.598396,An empirical relationship for determining photon beam quality in TG-21 from a ratio of percent depth doses,"Followill, DS ; Tailor, RC ; Tello, VM ; Hanson, WF",4,38,4
1998,10.1118/1.598309,Superficial and orthovoltage x-ray beam dosimetry,"Podgorsak, EB ; Gosselin, M ; Evans, MDC",3,9,6
1998,10.1118/1.598298,Two-dimensional dose distribution of a miniature x-ray device for stereotactic radiosurgery,"Yasuda, T ; Beatty, J ; Biggs, PJ ; Gall, K",4,17,5
1998,10.1118/1.598311,The use of improved radiochromic film for in vivo quality assurance of high dose rate brachytherapy,"Pai, S ; Reinstein, LE ; Gluckman, G ; Xu, ZG ; Weiss, T",5,14,5
1998,10.1118/1.598404,Real-time B-mode ultrasound quality control test procedures - Report of AAPM ultrasound task group no. 1,"Goodsitt, MM ; Carson, PL ; Witt, S ; Hykes, DL ; Kofler, JM",5,118,22
1998,10.1118/1.598313,Calculation of enhanced dynamic wedge factors for symmetric and asymmetric photon fields,"Gibbons, JP",1,36,8
1998,10.1118/1.598314,Verification of the omni wedge technique,"Milliken, BD ; Turian, JV ; Hamilton, RJ ; Rubin, SJ ; Kuchnir, FT ; Yu, CX ; Wong, JW",7,10,5
1998,10.1118/1.598315,Multileaf collimator leaf sequencing algorithm for intensity modulated beams with multiple static segments,"Xia, P ; Verhey, LJ",2,247,11
1998,10.1118/1.598317,A stereotactic radiation therapy device for retinoblastoma using a noncircular collimator and intensity filter,"Cormack, RA ; Kooy, HM ; Bellerive, MR ; Loeffler, JS ; Petersen, RA ; Tarbell, NJ",6,9,5
1998,10.1118/1.598318,Linear accelerator output variations and their consequences for megavoltage imaging,"Partridge, M ; Evans, PM ; Mosleh-Shirazi, MA",3,26,10
1998,10.1118/1.598330,Measurement of P<sub>repl</sub> P<sub>wall</sub> factors in electron beams and in a <SUP>60</SUP>Co beam for plane-parallel chambers,"Ding, GX ; Cygler, JE",2,11,5
1998,10.1118/1.598319,Tissue-air ratios for narrow <SUP>60</SUP>Co gamma-ray beams,"Nizin, PS ; Mooij, RB",2,17,6
1998,10.1118/1.598320,Dosimetric evaluation of a widely used kilovoltage x-ray unit for endocavitary radiotherapy,"Li, XA ; Ma, CM ; Salhani, D ; Agboola, O",4,12,8
1998,10.1118/1.598321,Statistical investigation of the scaling factor method of beta-ray dose distribution derivation: The scaling factor for water to bone,"Marcu, SM ; Prestwich, WV",2,1,6
1998,10.1118/1.598322,Application of the scaling factor method to estimation of beta dose distributions for dissimilar media separated by a planar interface,"Marcu, SM ; Prestwich, WV",2,3,9
1998,10.1118/1.598323,Yttrium-90 biodistribution by yttrium-87 imaging: A theoretical feasibility analysis,"Sgouros, G",1,19,4
1998,10.1118/1.598325,Astigmatic single photon emission computed tomography imaging with a displaced center of rotation,"Wang, HL ; Smith, MF ; Stone, CD ; Jaszczak, RJ",4,26,9
1998,10.1118/1.598326,Analysis of methods for reducing false positives in the automated detection of clustered microcalcifications in mammograms,"Nagel, RH ; Nishikawa, RM ; Papaioannou, J ; Doi, K",4,47,5
1998,10.1118/1.598331,Automated lung segmentation in digital lateral chest radiographs,"Armato, SG ; Giger, ML ; Ashizawa, K ; MacMahon, H",4,25,14
1998,10.1118/1.598327,New classes of helical weighting algorithms with applications to fast CT reconstruction,"Besson, G",1,7,12
1998,10.1118/1.598328,Lens design for large-area x-ray sensitive vidicons,"Pang, G ; Luhta, R ; Rowlands, JA",3,0,14
1998,10.1118/1.598403,Multiresolution elastic image registration,"Kostelec, PJ ; Weaver, JB ; Healy, DM",3,43,12
1998,10.1118/1.598340,"Calculated mammographic spectra confirmed with attenuation curves for molybdenum, rhodium, and tungsten targets","Blough, MM ; Waggener, RG ; Payne, WH ; Terry, JA",4,28,8
1998,10.1118/1.598341,A genetic algorithm-based method for optimizing the performance of a computer-aided diagnosis scheme for detection of clustered microcalcifications in mammograms,"Anastasio, MA ; Yoshida, H ; Nagel, R ; Nishikawa, RM ; Doi, K",5,38,8
1998,10.1118/1.598342,Effects of lossy compression on lesion detection: Predictions of the nonprewhitening matched filter,"Zhao, BS ; Schwarz, LH ; Kijewski, PK",3,11,4
1998,10.1118/1.598343,Relation between radiographic mottle for double and single emulsions,"Arimura, H ; Okawa, T ; Okamoto, M ; Ikari, T ; Nakamori, N ; Kubota, H ; Matsumoto, M ; Takigawa, A ; Kanamori, H",9,0,11
1998,10.1118/1.598344,Digital radiology using active matrix readout of amorphous selenium: Geometrical and effective fill factors,"Pang, G ; Zhao, W ; Rowlands, JA",3,36,11
1998,10.1118/1.598345,Computerized analysis of breast lesions in three dimensions using dynamic magnetic-resonance imaging,"Gilhuijs, KGA ; Giger, ML ; Bick, U",3,165,8
1998,10.1118/1.598357,Review and evaluation of MRI nonuniformity corrections for brain tumor response measurements,"Velthuizen, RP ; Heine, JJ ; Cantor, AB ; Lin, HB ; Fletcher, LM ; Clarke, LP",6,30,12
1998,10.1118/1.598346,Automated seed localization from CT datasets of the prostate,"Brinkmann, DH ; Kline, RW",2,42,6
1998,10.1118/1.598348,Beam characteristics of a retrofitted double-focused multileaf collimator,"Das, IJ ; Desobry, GE ; McNeeley, SW ; Cheng, EC ; Schultheiss, TE",5,61,9
1998,10.1118/1.598349,A generalized film technique for the verification of vertex fields used in the treatment of brain tumors,"Huq, MS ; Yue, N ; Suntharalingam, N ; Curran, WJ",4,1,7
1998,10.1118/1.598350,A generalized solution for the calculation of in-air output factors in irregular fields,"Kim, SY ; Palta, JR ; Zhu, TC",3,22,10
1998,10.1118/1.598358,Forward and adjoint methods for radiotherapy planning,"Difilippo, FC",1,11,9
1998,10.1118/1.598351,Effects of changes in stopping-power ratios with field size on electron beam relative output factors,"Zhang, GG ; Rogers, DWO ; Cygler, JE ; Mackie, TR",4,22,6
1998,10.1118/1.598352,In-phantom dosimetry and spectrometry of photoneutrons from an 18 MV linear accelerator,"d'Errico, F ; Nath, R ; Tana, L ; Curzio, G ; Alberts, WG",5,61,8
1998,10.1118/1.598353,Designing accelerator-based epithermal neutron beams for boron neutron capture therapy,"Bleuel, DL ; Donahue, RJ ; Ludewigt, BA ; Vujic, J",4,69,10
1998,10.1118/1.598354,Phantoms with <SUP>10</SUP>BF<sub>3</sub> detectors for boron neutron capture therapy applications,"Alburger, DE ; Raparia, D ; Zucker, MS",3,6,4
1998,10.1118/1.598356,Optical CT reconstruction of 3D dose distributions using the ferrous-benzoic-xylenol (FBX) gel dosimeter,"Kelly, RG ; Jordan, KJ ; Battista, JJ",3,151,10
1998,10.1118/1.598360,Ion recombination and polarity effect of ionization chambers in kilovoltage x-ray exposure measurements,"Das, IJ ; Akber, SF",2,10,7
1998,10.1118/1.598373,American Association of Physicists in Medicine radiation therapy committee task group 53: Quality assurance for clinical radiotherapy treatment planning,"Fraass, B ; Doppke, K ; Hunt, M ; Kutcher, G ; Starkschall, G ; Stern, R ; Van Dyke, J",7,656,57
1998,10.1118/1.598363,A software toes for the quantitative evaluation of 3D dose calculation algorithms,"Harms, WB ; Low, DA ; Wong, JW ; Purdy, JA",4,107,7
1998,10.1118/1.598369,Evaluation of optimized compensators on a 3D planning system,"Basran, PS ; Ansbacher, W ; Field, GC ; Murray, BR",4,20,8
1998,10.1118/1.598374,Fast iterative algorithms for three-dimensional inverse treatment planning,"Xing, L ; Hamilton, RJ ; Spelbring, D ; Pelizzari, CA ; Chen, GTY ; Boyer, AL",6,57,5
1998,10.1118/1.598365,Inverse radiosurgery treatment planning through deconvolution and constrained optimization,"Harmon, JF ; Bova, F ; Meeks, S",3,5,8
1998,10.1118/1.598375,A three-dimensional algorithm for optimizing beam weights and wedge filters,"Xing, L ; Hamilton, RJ ; Pelizzari, C ; Chen, GTY",4,25,8
1998,10.1118/1.598366,The regional Monte Carlo method: A dose calculation method based on accuracy requirement,"Woo, MK ; Scora, DJ ; Wong, E",3,1,6
1998,10.1118/1.598376,Independent verification using portal imaging of intensity-modulated beam delivery by the dynamic MLC technique,"Partridge, M ; Evans, PM ; Mosleh-Shirazi, A ; Convery, D",4,62,8
1998,10.1118/1.598377,Optimization of the scintillation detector in a combined 3D megavoltage CT scanner and portal imager,"Mosleh-Shirazi, MA ; Swindell, W ; Evans, PM",3,50,11
1998,10.1118/1.598378,Calibration of a portal imaging device for high-precision dosimetry: A Monte Carlo study,"Keller, H ; Fix, M ; Ruegsegger, P",3,23,12
1998,10.1118/1.598379,The use of an electronic portal imaging system to measure portal dose and portal dose profiles,"Parsaei, H ; El-Khatib, E ; Rajapakshe, R",3,28,7
1998,10.1118/1.598380,Megavoltage imaging with low Z targets: Implementation and characterization of an investigational system,"Ostapiak, OZ ; O'Brien, PF ; Faddegon, BA",3,44,9
1998,10.1118/1.598381,Physical and dosimetric aspects of a multileaf collimation system used in the dynamic mode for implementing intensity modulated radiotherapy,"LoSasso, T ; Chui, CS ; Ling, CC",3,319,9
1998,10.1118/1.598382,"Magnetic resonance imaging based digitally reconstructed radiographs, virtual simulation, and three-dimensional treatment planning for brain neoplasms","Ramsey, CR ; Oliver, AL",2,26,7
1998,10.1118/1.598383,Viability of an isocentric cobalt-60 teletherapy unit for stereotactic radiosurgery,"Poffenbarger, BA ; Podgorsak, EB",2,7,9
1998,10.1118/1.598384,Mapping dose distributions,"Beckett, C ; Dickof, P",2,0,10
1998,10.1118/1.598370,Development of a high-power water cooled beryllium target for use in accelerator-based boron neutron capture therapy,"Blackburn, BW ; Yanch, JC ; Klinkowstein, RE",3,21,8
1998,10.1118/1.598371,Monte Carlo and TLD dosimetry of an <SUP>192</SUP>Ir high dose-rate brachytherapy source,"Karaiskos, P ; Angelopoulos, A ; Sakelliou, L ; Sandilos, P ; Antypas, C ; Vlachos, L ; Koutsouveli, E",7,91,10
