year,doi,title,authors,number.authors,citations,source.pages.count
1998,10.1088/0031-9155/43/5/021,An expression for backscatter factors for orthovoltage x-rays,"Xiao, Y ; Bjarngard, B",2,2,4
1998,10.1088/0031-9155/43/5/022,Design considerations for the sides of multileaf collimator leaves,"Yu, CX",1,26,8
1998,10.1088/0031-9155/43/5/023,High dose behind inhomogeneities during medium-energy x-ray irradiation,"Mitchell, G ; Kron, T ; Back, M",3,11,8
1998,10.1088/0031-9155/43/5/024,Comparison of EGS4 and MCNP Monte Carlo codes when calculating radiotherapy depth doses,"Love, PA ; Lewis, DG ; Al-Affan, IAM ; Smith, CW",4,32,7
1998,10.1088/0031-9155/43/5/025,An investigation into the use of carbon fibre for megavoltage radiotherapy applications,"Meara, SJP ; Langmack, KA",2,43,8
1998,10.1088/0031-9155/43/5/026,X-ray characterization of breast phantom materials,"Byng, JW ; Mainprize, JG ; Yaffe, MJ",3,67,11
1998,10.1088/0031-9155/43/6/001,A model for the fluid motion of vitreous humour of the human eye during saccadic movement,"David, T ; Smye, S ; Dabbs, T ; James, T",4,69,15
1998,10.1088/0031-9155/43/6/002,A data reduction scheme for improving the accuracy of oxygen saturation calculations from spectrometric in vivo measurements,"Thamm, E ; Schweitzer, D ; Hammer, M",3,8,11
1998,10.1088/0031-9155/43/6/003,Monte Carlo simulation of source-excited in vivo x-ray fluorescence measurements of heavy metals,"O'Meara, JM ; Chettle, DR ; McNeill, FE ; Prestwich, WV ; Svensson, CE",5,29,16
1998,10.1088/0031-9155/43/6/004,Electrochemical study of insulating properties of dental amalgam bonding polymers,"Toumelin-Chemla, F ; Degrange, M",2,1,10
1998,10.1088/0031-9155/43/6/005,A novel equivalent circuit model for gap-connected cells,"Fear, EC ; Stuchly, MA",2,22,10
1998,10.1088/0031-9155/43/6/006,Value of epicardial potential maps in localizing pre-excitation sites for radiofrequency ablation. A simulation study,"Hren, R",1,6,20
1998,10.1088/0031-9155/43/6/007,Lung uptake of thallium-201: a marker of defect reversibility?,"Sanderson, R ; Woldman, S ; McCurrach, G ; Martin, W ; Hutton, I",5,1,11
1998,10.1088/0031-9155/43/6/008,Configuration options for intensity-modulated radiation therapy using multiple static fields shaped by a multileaf collimator. II: Constraints and limitations on 2D modulation,"Webb, S",1,26,15
1998,10.1088/0031-9155/43/6/009,Calculation of absorbed dose distributions from dynamic wedges,"Storchi, P ; Woudstra, E ; Verlinde, P ; Johansson, KA ; Samuelsson, A",5,11,10
1998,10.1088/0031-9155/43/6/010,Spectral reconstruction of clinical megavoltage photon beams and the implications of spectral determination on the dosimetry of such beams,"Nisbet, A ; Weatherburn, H ; Fenwick, JD ; McVey, G",4,23,15
1998,10.1088/0031-9155/43/6/011,An evaluation of epoxy resin phantom materials for electron dosimetry,"Nisbet, A ; Thwaites, DI",2,16,6
1998,10.1088/0031-9155/43/6/012,Dose accuracy check of the 3D electron beam algorithm in a treatment planning system,"Samuelsson, A ; Hyodynmaa, S ; Johansson, KA",3,19,16
1998,10.1088/0031-9155/43/6/013,Dose characteristics of in-house-built collimators for stereotactic radiotherapy with a linear accelerator,"Norrgard, FSE ; Sipila, PM ; Kulmala, JAJ ; Minn, HRI",4,5,12
1998,10.1088/0031-9155/43/6/014,"Dose rate constants for <SUP>125</SUP>I, <SUP>103</SUP>Pd, <SUP>192</SUP>Ir and <SUP>169</SUP>Yb brachytherapy sources:: an EGS4 Monte Carlo study","Mainegra, E ; Capote, R ; Lopez, E",3,34,10
1998,10.1088/0031-9155/43/6/015,Shuttle dose at the Vienna Leksell Gamma Knife,"Ertl, A ; Zehetmayer, M ; Schoggl, A ; Kitz, K ; Koschuch, R ; Stadtmann, H ; Kindl, P",7,24,12
1998,10.1088/0031-9155/43/6/016,The precision of proton range calculations in proton radiotherapy treatment planning: experimental verification of the relation between CT-HU and proton stopping power,"Schaffner, B ; Pedroni, E",2,299,14
1998,10.1088/0031-9155/43/6/017,The equivalent square concept for the head scatter factor based on scatter from flattening filter,"Kim, S ; Palta, JR ; Zhu, TC",3,12,12
1998,10.1088/0031-9155/43/6/018,"An adaptive control algorithm for optimization of intensity modulated radiotherapy considering uncertainties in beam profiles, patient set-up and internal organ motion","Lof, J ; Lind, BK ; Brahme, A",3,93,24
1998,10.1088/0031-9155/43/6/019,An optimized leaf-setting algorithm for beam intensity modulation using dynamic multileaf collimators,"Ma, LJ ; Boyer, AL ; Xing, L ; Ma, CM",4,59,15
1998,10.1088/0031-9155/43/6/020,Registration of synthetic tomographic projection data sets using cross-correlation,"Fitchard, EE ; Aldridge, JS ; Reckwerdt, PJ ; Mackie, TR",4,22,13
1998,10.1088/0031-9155/43/6/021,A new method to estimate parameters of linear compartmental models using artificial neural networks,"Gambhir, SS ; Keppenne, CL ; Banerjee, PK ; Phelps, ME",4,6,20
1998,10.1088/0031-9155/43/6/022,Application of distance-dependent resolution compensation and post-reconstruction filtering for myocardial SPECT,"Hutton, BF ; Lau, YH",2,50,15
1998,10.1088/0031-9155/43/6/023,Statistical distribution of factors and factor images in factor analysis of medical image sequences,"Buvat, I ; Benali, H ; Di Paola, R",3,13,17
1998,10.1088/0031-9155/43/6/024,Selection of task-dependent diffusion filters for the post-processing of SPECT images,"Beekman, FJ ; Slijpen, ETP ; Niessen, WJ",3,45,18
1998,10.1088/0031-9155/43/6/025,Electrical impedance tomography with compensation for electrode positioning variations,"Blott, BH ; Daniell, GJ ; Meeson, S",3,19,9
1998,10.1088/0031-9155/43/6/026,Site-specific confocal fluorescence imaging of biological microstructures in a turbid medium,"Saloma, C ; Palmes-Saloma, C ; Kondoh, H",3,17,19
1998,10.1088/0031-9155/43/6/027,A two-compartment phantom for VOI profile measurements in small-bore <SUP>31</SUP>P MR spectroscopy,"Vikhoff, B ; Stubgaard, M ; Stensgaard, A ; Stahlberg, F ; Henriksen, O",5,6,10
1998,10.1088/0031-9155/43/6/028,Determination of the wavelength dependence of the differential pathlength factor from near-infrared pulse signals,"Kohl, M ; Nolte, C ; Heekeren, HR ; Horst, S ; Scholz, U ; Obrig, H ; Villringer, A",7,93,12
1998,10.1088/0031-9155/43/6/029,Application of the Monte Carlo integration (MCI) method for calculation of the anisotropy of <SUP>192</SUP>Ir brachytherapy sources,"Baltas, D ; Giannouli, S ; Garbi, A ; Diakonos, F ; Geramani, K ; Ioannidis, GT ; Tsalpatouros, A ; Uzunoglu, N ; Kolotas, C ; Zamboglou, N",10,21,19
1998,10.1088/0031-9155/43/6/030,Characteristics of a commercially available film digitizer and their significance for film dosimetry,"Mersseman, B ; De Wagter, C",2,48,10
1998,10.1088/0031-9155/43/6/031,Photon dose calculations in homogeneous media for a treatment planning system using a collapsed cone superposition convolution algorithm,"Lydon, JM",1,22,10
1998,10.1088/0031-9155/43/7/002,Electron paramagnetic resonance imaging of the rat heart,"Zweier, JL ; Chzhan, M ; Samouilov, A ; Kuppusamy, P",4,23,13
1998,10.1088/0031-9155/43/7/003,In vivo measurement of arterial and venous oxygenation in the rat using 3D spectral-spatial electron paramagnetic resonance imaging,"Kuppusamy, P ; Shankar, RA ; Zweier, JL",3,51,8
1998,10.1088/0031-9155/43/7/004,Two-dimensional 220 MHz Fourier transform EPR imaging,"Placidi, G ; Brivati, JA ; Alecci, M ; Testa, L ; Sotgiu, A",5,8,6
1998,10.1088/0031-9155/43/7/005,Recent developments in combining LODESR imaging with proton NMR imaging,"Nicholson, I ; Robb, FJL ; McCallum, SJ ; Koptioug, A ; Lurie, DJ",5,20,5
1998,10.1088/0031-9155/43/7/006,Multimodality magnetic resonance systems for studying free radicals in vivo,"McCallum, SJ ; Nicholson, I ; Lurie, DJ",3,10,5
1998,10.1088/0031-9155/43/7/007,Overhauser instrumentation: similarities with and differences from MRI,"Claasen-Vujcic, T ; Borsboom, H ; Konijnenburg, E ; Korbee, D ; Trommel, J ; Mehlkopf, T",6,3,13
